id,split,raw_text,clean_label,category_key,category_label,currency_hint,amount_value,locale_hint,source,notes
train-001,train,coffee 2.5,coffee,food,Food & drinks,USD,2.5,en,seed_synthetic,short merchant
train-002,train,brown coffee 12000 riels,brown coffee,food,Food & drinks,KHR,12000,mixed,seed_synthetic,cafe merchant
train-003,train,lunch near office 3,lunch near office,food,Food & drinks,USD,3,en,seed_synthetic,meal
train-004,train,nom banh chok 5000,nom banh chok,food,Food & drinks,KHR,5000,km-Latn,seed_synthetic,khmer food romanized
train-005,train,tea shop 1.25,tea shop,food,Food & drinks,USD,1.25,en,seed_synthetic,drink
train-006,train,phsar grocery 35000,phsar grocery,food,Food & drinks,KHR,35000,mixed,seed_synthetic,market groceries
train-007,train,pizza dinner 8,pizza dinner,food,Food & drinks,USD,8,en,seed_synthetic,meal
train-008,train,rice pork breakfast 6000,rice pork breakfast,food,Food & drinks,KHR,6000,en,seed_synthetic,breakfast
train-009,train,snack at mart 1.5,snack at mart,food,Food & drinks,USD,1.5,en,seed_synthetic,snack
train-010,train,noodle soup 10000,noodle soup,food,Food & drinks,KHR,10000,en,seed_synthetic,noodle meal
train-011,train,grab 4000,grab,transport,Transport,KHR,4000,en,seed_synthetic,ride hailing
train-012,train,tuktuk home 6000,tuktuk home,transport,Transport,KHR,6000,mixed,seed_synthetic,local transport
train-013,train,passapp to office 8000,passapp to office,transport,Transport,KHR,8000,en,seed_synthetic,ride hailing
train-014,train,bus card top up 2,bus card top up,transport,Transport,USD,2,en,seed_synthetic,bus transit
train-015,train,moto fuel 15000,moto fuel,transport,Transport,KHR,15000,en,seed_synthetic,fuel
train-016,train,parking mall 2000,parking mall,transport,Transport,KHR,2000,en,seed_synthetic,parking
train-017,train,taxi airport 12,taxi airport,transport,Transport,USD,12,en,seed_synthetic,taxi
train-018,train,petrol station 5,petrol station,transport,Transport,USD,5,en,seed_synthetic,fuel
train-019,train,ride to riverside 7000,ride to riverside,transport,Transport,KHR,7000,en,seed_synthetic,ride
train-020,train,train ticket 4,train ticket,transport,Transport,USD,4,en,seed_synthetic,transit ticket
train-021,train,phone topup 5,phone topup,bills,Bills & utilities,USD,5,en,seed_synthetic,mobile topup
train-022,train,wifi bill 25,wifi bill,bills,Bills & utilities,USD,25,en,seed_synthetic,internet
train-023,train,electricity 30,electricity,bills,Bills & utilities,USD,30,en,seed_synthetic,power bill
